group,models,policy,accuracy_mean,accuracy_std,avg_cost_mean
gemini_flash_llama_70b,"gemini_flash,llama_70b",logistic_router,0.9020304568527919,0.02505124867160361,0.00015469540186125212
gemini_flash_llama_70b,"gemini_flash,llama_70b",linear_svm_router,0.8976311336717427,0.022976766818306366,0.00016101176345177664
gemini_flash_llama_70b,"gemini_flash,llama_70b",knn_router,0.8795262267343485,0.02391843422016156,0.00018717409813874788
gemini_flash_llama_70b,"gemini_flash,llama_70b",decision_tree_router,0.9032148900169205,0.023806729023474627,0.00015243661742808797
gemini_flash_llama_70b,"gemini_flash,llama_70b",random_forest_router,0.9096446700507614,0.022441387025709542,0.00017060178257191202
gemini_flash_llama_70b,"gemini_flash,llama_70b",extra_trees_router,0.9106598984771573,0.02080599140296366,0.00016221128409475463
gemini_flash_deepseek_v3,"gemini_flash,deepseek_v3",always_gemini_flash,0.8769881556683587,0.024020374307983944,0.00018964697123519458
gemini_flash_deepseek_v3,"gemini_flash,deepseek_v3",always_deepseek_v3,0.9071065989847715,0.020046938994475166,7.057821015228426e-05
gemini_flash_deepseek_v3,"gemini_flash,deepseek_v3",random,0.8898477157360406,0.029901881167559673,0.00013000436818950931
gemini_flash_deepseek_v3,"gemini_flash,deepseek_v3",oracle,0.9455160744500846,0.015881516637947075,0.00018013751336717426
gemini_flash_deepseek_v3,"gemini_flash,deepseek_v3",logistic_router,0.9104906937394247,0.020194139289804805,0.0001602537282571912
gemini_flash_deepseek_v3,"gemini_flash,deepseek_v3",linear_svm_router,0.9021996615905246,0.02446931219465375,0.00016457041556683586
gemini_flash_deepseek_v3,"gemini_flash,deepseek_v3",knn_router,0.8818950930626058,0.02436013322074373,0.00018650801556683588
gemini_flash_deepseek_v3,"gemini_flash,deepseek_v3",decision_tree_router,0.9040609137055837,0.02130186871738715,0.00016170678375634518
gemini_flash_deepseek_v3,"gemini_flash,deepseek_v3",random_forest_router,0.9076142131979695,0.02130395417127804,0.00017556698104906937
gemini_flash_deepseek_v3,"gemini_flash,deepseek_v3",extra_trees_router,0.9109983079526227,0.02093937360456511,0.0001657923363790186
gemini_flash_granite_8b,"gemini_flash,granite_8b",always_gemini_flash,0.8769881556683587,0.024020374307983944,0.00018964697123519458
gemini_flash_granite_8b,"gemini_flash,granite_8b",always_granite_8b,0.8463620981387479,0.02522033466290163,1.5969788494077833e-05
gemini_flash_granite_8b,"gemini_flash,granite_8b",random,0.860575296108291,0.025493651508779188,0.00010240110829103216
gemini_flash_granite_8b,"gemini_flash,granite_8b",oracle,0.9253807106598985,0.017131250349140453,0.00017959404399323182
gemini_flash_granite_8b,"gemini_flash,granite_8b",logistic_router,0.8763113367174281,0.023715112804294124,0.0001386548054145516
gemini_flash_granite_8b,"gemini_flash,granite_8b",linear_svm_router,0.8676818950930626,0.0237693772996854,0.00015055452622673434
gemini_flash_granite_8b,"gemini_flash,granite_8b",knn_router,0.8766497461928934,0.02370262064539724,0.00018897967851099832
gemini_flash_granite_8b,"gemini_flash,granite_8b",decision_tree_router,0.8661590524534687,0.02430718759210898,0.00011898043147208122
gemini_flash_granite_8b,"gemini_flash,granite_8b",random_forest_router,0.8849407783417935,0.021049410819917628,0.00016554567681895092
gemini_flash_granite_8b,"gemini_flash,granite_8b",extra_trees_router,0.8822335025380711,0.02134562046215249,0.00015127420473773267
qwen_30b_llama_70b,"qwen_30b,llama_70b",always_qwen_30b,0.8998307952622674,0.019129917511367396,2.531397394247039e-05
qwen_30b_llama_70b,"qwen_30b,llama_70b",always_llama_70b,0.8950930626057529,0.020837285042776554,5.354493147208122e-05
qwen_30b_llama_70b,"qwen_30b,llama_70b",random,0.8974619289340101,0.023523886582439014,3.980510737732657e-05
qwen_30b_llama_70b,"qwen_30b,llama_70b",oracle,0.9461928934010152,0.01619544745768702,2.657792551607445e-05
qwen_30b_llama_70b,"qwen_30b,llama_70b",logistic_router,0.8950930626057529,0.023483562770349582,3.218847918781726e-05
qwen_30b_llama_70b,"qwen_30b,llama_70b",linear_svm_router,0.8954314720812183,0.022049960674129655,3.092574355329949e-05
