group,models,policy,n_seeds,n_decidable_mean,decidable_share_mean,acc_full_mean,acc_full_std,acc_decidable_mean,acc_decidable_std,decidable_lift_pp_mean,decidable_lift_pp_std,router_disagrees_share_mean,router_correct_when_disagrees_mean
gemini_flash_granite,"gemini_flash,granite_8b",tfidf_logistic_router,30,25.1,0.12741116751269035,0.8683587140439932,0.02218387397048801,0.5472342142132739,0.0903014438077477,-9.562604277836348,7.592586577003734,0.21133671742808796,0.7126167288311779
gemini_flash_granite,"gemini_flash,granite_8b",tfidf_mlp_router,30,25.1,0.12741116751269035,0.8749576988155668,0.023789928005042208,0.6015224143781825,0.09999634093347291,-4.13378426134548,7.188459699779064,0.14145516074450085,0.5534148831657946
gemini_flash_llama,"gemini_flash,llama_70b",always_gemini_flash,4,21.5,0.10913705583756345,0.9022842639593909,0.019162016333174492,0.5192307692307692,0.03846153846153845,0.0,0.0,0.0,
gemini_flash_llama,"gemini_flash,llama_70b",always_llama_70b,26,23.884615384615383,0.12124170245997658,0.894767668879344,0.020180212708047273,0.5907968882255827,0.06658791098454771,0.0,0.0,0.0,
gemini_flash_llama,"gemini_flash,llama_70b",decision_tree_router,30,23.566666666666666,0.11962774957698816,0.8978003384094755,0.023574194352863613,0.5996423045694593,0.09901970075454254,1.8387565543185103,12.815838809864813,0.6969543147208123,0.8975950539239458
gemini_flash_llama,"gemini_flash,llama_70b",extra_trees_router,30,23.566666666666666,0.11962774957698816,0.9098138747884941,0.020465115906503007,0.697643446691962,0.05893715457852569,11.638870766568761,9.744167157374143,0.7142131979695432,0.9067646216992061
gemini_flash_llama,"gemini_flash,llama_70b",knn_router,30,23.566666666666666,0.11962774957698816,0.877326565143824,0.024108987969081015,0.4267772773541994,0.07297336934301249,-15.44774616720749,13.762115678853293,0.8659898477157361,0.873575572360924
gemini_flash_llama,"gemini_flash,llama_70b",linear_svm_router,30,23.566666666666666,0.11962774957698816,0.888663282571912,0.024614130852191912,0.5211151309915611,0.0670974990431941,-6.01396080347131,10.690221113694662,0.7483925549915398,0.8831056957103551
gemini_flash_llama,"gemini_flash,llama_70b",logistic_router,30,23.566666666666666,0.11962774957698816,0.8976311336717427,0.02293806364627314,0.5965039893186083,0.06850409767815029,1.5249250292334016,10.265583795134779,0.7106598984771574,0.8955200468092894
gemini_flash_llama,"gemini_flash,llama_70b",mlp_router,30,23.566666666666666,0.11962774957698816,0.88917089678511,0.023284076320129538,0.5274139115144665,0.07745559908432213,-5.384082751180781,13.461690307921476,0.8274111675126903,0.8887558705714428
gemini_flash_llama,"gemini_flash,llama_70b",oracle,30,23.566666666666666,0.11962774957698816,0.9458544839255498,0.019008772056017073,1.0,0.0,41.87452609737257,6.773219991801886,0.8116751269035534,
