group,models,n_seeds,policy,accuracy_mean,accuracy_std,utility_mean,regret_mean,avg_cost_mean,route_acc_mean
mistral_ring,"mistral_nemo,ring_1t",30,random,0.5568527918781726,0.035748639234888774,0.5568527918781726,0.20016920473773267,5.25915524534687e-05,0.49864636209813873
mistral_ring,"mistral_nemo,ring_1t",30,oracle,0.7570219966159052,0.026552114874410566,0.7570219966159052,0.0,1.4180742808798647e-05,1.0
mistral_ring,"mistral_nemo,ring_1t",30,logistic_router,0.6179357021996615,0.03343120873263952,0.6179357021996615,0.13908629441624365,3.1204477157360405e-05,0.7008460236886633
mistral_ring,"mistral_nemo,ring_1t",30,linear_svm_router,0.6214890016920475,0.03212324820090559,0.6214890016920475,0.13553299492385787,2.8951093908629443e-05,0.7282571912013537
mistral_ring,"mistral_nemo,ring_1t",30,knn_router,0.6695431472081218,0.02800537150565401,0.6695431472081218,0.08747884940778342,7.1305854483925546e-06,0.9115059221658207
mistral_ring,"mistral_nemo,ring_1t",30,decision_tree_router,0.6087986463620981,0.0321024965974645,0.6087986463620981,0.1482233502538071,4.166271742808799e-05,0.5976311336717429
mistral_ring,"mistral_nemo,ring_1t",30,random_forest_router,0.6527918781725889,0.028297323933658886,0.6527918781725889,0.10423011844331641,1.7332053299492386e-05,0.827072758037225
mistral_ring,"mistral_nemo,ring_1t",30,extra_trees_router,0.6346869712351946,0.030089485617300564,0.6346869712351946,0.12233502538071066,2.520263282571912e-05,0.7522842639593909
mistral_ring,"mistral_nemo,ring_1t",30,mlp_router,0.6614213197969543,0.02666620314887216,0.6614213197969543,0.09560067681895093,1.1011380710659899e-05,0.8803722504230118
mistral_ring,"mistral_nemo,ring_1t",30,tfidf_logistic_router,0.6480541455160744,0.031555350037294476,0.6480541455160744,0.1089678510998308,1.855051269035533e-05,0.8153976311336718
mistral_ring,"mistral_nemo,ring_1t",30,tfidf_linear_svm_router,0.6624365482233503,0.026452093925621218,0.6624365482233503,0.09458544839255499,1.0472258037225043e-05,0.8840947546531303
mistral_ring,"mistral_nemo,ring_1t",30,tfidf_mlp_router,0.6658206429780034,0.026091341044584753,0.6658206429780034,0.09120135363790187,8.777351099830794e-06,0.8972927241962776
ring_minimax,"ring_1t,minimax_m3",30,always_ring_1t,0.4372250423011844,0.03156661109161259,0.4372250423011844,0.22385786802030458,9.743836294416243e-05,0.7761421319796954
ring_minimax,"ring_1t,minimax_m3",30,always_minimax_m3,0.606429780033841,0.02552848050381041,0.606429780033841,0.05465313028764805,0.0002066131878172589,0.22385786802030458
ring_minimax,"ring_1t,minimax_m3",30,random,0.5203045685279187,0.027115572365282385,0.5203045685279187,0.14077834179357024,0.00015262001184433163,0.4910321489001692
ring_minimax,"ring_1t,minimax_m3",30,oracle,0.661082910321489,0.026516954995670767,0.661082910321489,0.0,0.00011760972504230119,1.0
ring_minimax,"ring_1t,minimax_m3",30,logistic_router,0.5549915397631133,0.02945831879193136,0.5549915397631133,0.10609137055837564,0.00013619633333333334,0.673434856175973
ring_minimax,"ring_1t,minimax_m3",30,linear_svm_router,0.5209813874788494,0.028450245469360966,0.5209813874788494,0.14010152284263958,0.00013170120727580372,0.667005076142132
ring_minimax,"ring_1t,minimax_m3",30,knn_router,0.4761421319796954,0.03274556027905675,0.4761421319796954,0.18494077834179354,0.00010591356937394247,0.7654822335025381
ring_minimax,"ring_1t,minimax_m3",30,decision_tree_router,0.5316412859560068,0.029626745074479766,0.5316412859560068,0.12944162436548223,0.00013436772165820643,0.6510998307952622
ring_minimax,"ring_1t,minimax_m3",30,random_forest_router,0.5417935702199661,0.033906232610061496,0.5417935702199661,0.11928934010152285,0.00012830862267343486,0.7165820642978004
ring_minimax,"ring_1t,minimax_m3",30,extra_trees_router,0.5423011844331641,0.03166076518200387,0.5423011844331641,0.11878172588832488,0.00013133478087986464,0.6868020304568528
ring_minimax,"ring_1t,minimax_m3",30,mlp_router,0.5018612521150592,0.03264591658264058,0.5018612521150592,0.15922165820642978,0.00011998827326565143,0.7084602368866328
ring_minimax,"ring_1t,minimax_m3",30,tfidf_logistic_router,0.5353637901861252,0.030969870754973976,0.5353637901861252,0.1257191201353638,0.00012972335448392555,0.6923857868020306
ring_minimax,"ring_1t,minimax_m3",30,tfidf_linear_svm_router,0.49306260575296107,0.02820716811386231,0.49306260575296107,0.16802030456852793,0.00011845439255499154,0.7137055837563452
ring_minimax,"ring_1t,minimax_m3",30,tfidf_mlp_router,0.4739424703891709,0.0332058676795904,0.4739424703891709,0.1871404399323181,0.00011131732064297801,0.731979695431472
mistral_granite,"mistral_nemo,granite_8b",30,always_mistral_nemo,0.6697123519458544,0.02796038887893675,0.6697123519458544,0.24636209813874788,7.023673434856175e-06,0.7536379018612521
mistral_granite,"mistral_nemo,granite_8b",30,always_granite_8b,0.8463620981387479,0.02522033466290163,0.8463620981387479,0.06971235194585448,1.5969788494077833e-05,0.24636209813874788
mistral_granite,"mistral_nemo,granite_8b",30,random,0.7576988155668359,0.028743861706807778,0.7576988155668359,0.1583756345177665,1.1515964467005076e-05,0.49593908629441624
mistral_granite,"mistral_nemo,granite_8b",30,oracle,0.9160744500846024,0.01888684955633171,0.9160744500846024,0.0,9.639247038917089e-06,1.0
mistral_granite,"mistral_nemo,granite_8b",30,logistic_router,0.760067681895093,0.02632358005940532,0.760067681895093,0.15600676818950932,1.070602538071066e-05,0.611844331641286
mistral_granite,"mistral_nemo,granite_8b",30,linear_svm_router,0.7402707275803722,0.02377498379919853,0.7402707275803722,0.1758037225042301,1.0276428087986463e-05,0.6208121827411168
mistral_granite,"mistral_nemo,granite_8b",30,knn_router,0.6803722504230119,0.029643235332508896,0.6803722504230119,0.23570219966159053,7.6253620981387485e-06,0.739932318104907
mistral_granite,"mistral_nemo,granite_8b",30,decision_tree_router,0.7834179357021996,0.024592462419599566,0.7834179357021996,0.1326565143824027,1.1973695431472083e-05,0.5482233502538071
mistral_granite,"mistral_nemo,granite_8b",30,random_forest_router,0.7377326565143824,0.026937493934275757,0.7377326565143824,0.17834179357021995,1.0004416243654822e-05,0.6609137055837563
mistral_granite,"mistral_nemo,granite_8b",30,extra_trees_router,0.7541455160744501,0.023572309749099022,0.7541455160744501,0.1619289340101523,1.0724935702199661e-05,0.6252115059221659
mistral_granite,"mistral_nemo,granite_8b",30,mlp_router,0.7160744500846025,0.027382411394526397,0.7160744500846025,0.2,8.876060913705584e-06,0.6854483925549916
mistral_granite,"mistral_nemo,granite_8b",30,tfidf_logistic_router,0.7385786802030457,0.023423579114862644,0.7385786802030457,0.1774957698815567,1.0073598984771574e-05,0.6367174280879865
mistral_granite,"mistral_nemo,granite_8b",30,tfidf_linear_svm_router,0.7153976311336717,0.028557788575553217,0.7153976311336717,0.20067681895093062,8.976341793570221e-06,0.6802030456852791
mistral_granite,"mistral_nemo,granite_8b",30,tfidf_mlp_router,0.7047377326565144,0.0259889770625507,0.7047377326565144,0.21133671742808796,8.353040609137055e-06,0.7128595600676818
gemini_flash_mistral,"gemini_flash,mistral_nemo",30,always_gemini_flash,0.8769881556683587,0.024020374307983944,0.8769881556683587,0.05786802030456853,0.00018964697123519458,0.9421319796954315
gemini_flash_mistral,"gemini_flash,mistral_nemo",30,always_mistral_nemo,0.6697123519458544,0.02796038887893675,0.6697123519458544,0.26514382402707276,7.023673434856175e-06,0.05786802030456853
gemini_flash_mistral,"gemini_flash,mistral_nemo",30,random,0.7725888324873097,0.030700929928552136,0.7725888324873097,0.1622673434856176,9.790881725888325e-05,0.4966159052453469
gemini_flash_mistral,"gemini_flash,mistral_nemo",30,oracle,0.9348561759729273,0.01876176710148278,0.9348561759729273,0.0,0.00017887157868020303,1.0
gemini_flash_mistral,"gemini_flash,mistral_nemo",30,logistic_router,0.8419627749576988,0.027666486768358537,0.8419627749576988,0.09289340101522843,0.00015123205076142133,0.7686971235194586
gemini_flash_mistral,"gemini_flash,mistral_nemo",30,linear_svm_router,0.8494077834179358,0.025826070998927194,0.8494077834179358,0.08544839255499154,0.00016012892385786802,0.8013536379018613
gemini_flash_mistral,"gemini_flash,mistral_nemo",30,knn_router,0.8769881556683587,0.024020374307983944,0.8769881556683587,0.05786802030456853,0.00018964697123519458,0.9421319796954315
gemini_flash_mistral,"gemini_flash,mistral_nemo",30,decision_tree_router,0.838917089678511,0.02669229125702327,0.838917089678511,0.09593908629441625,0.00014165718104906938,0.7272419627749577
gemini_flash_mistral,"gemini_flash,mistral_nemo",30,random_forest_router,0.8847715736040609,0.020914606252453973,0.8847715736040609,0.05008460236886633,0.00017278562098138747,0.8950930626057529
gemini_flash_mistral,"gemini_flash,mistral_nemo",30,extra_trees_router,0.8663282571912013,0.022359411497193525,0.8663282571912013,0.06852791878172589,0.00014878758375634515,0.7666666666666667
gemini_flash_mistral,"gemini_flash,mistral_nemo",30,mlp_router,0.8727580372250423,0.023201886851710277,0.8727580372250423,0.062098138747884946,0.00018088379864636208,0.9082910321489002
gemini_flash_mistral,"gemini_flash,mistral_nemo",30,tfidf_logistic_router,0.8626057529610829,0.023694497210325086,0.8626057529610829,0.07225042301184434,0.00016867510152284264,0.8499153976311338
gemini_flash_mistral,"gemini_flash,mistral_nemo",30,tfidf_linear_svm_router,0.871912013536379,0.022373315575807098,0.871912013536379,0.06294416243654823,0.0001853517901861252,0.9236886632825719
gemini_flash_mistral,"gemini_flash,mistral_nemo",30,tfidf_mlp_router,0.8730964467005077,0.02328089608705862,0.8730964467005077,0.061759729272419635,0.00018711018274111674,0.9336717428087986
mistral_qwen,"mistral_nemo,qwen_30b",30,always_mistral_nemo,0.6697123519458544,0.02796038887893675,0.6697123519458544,0.2697123519458545,7.023673434856175e-06,0.7302876480541456
mistral_qwen,"mistral_nemo,qwen_30b",30,always_qwen_30b,0.8998307952622674,0.019129917511367396,0.8998307952622674,0.03959390862944163,2.531397394247039e-05,0.2697123519458545
mistral_qwen,"mistral_nemo,qwen_30b",30,random,0.7862944162436548,0.03095887097812014,0.7862944162436548,0.15313028764805414,1.6179261319796953e-05,0.49898477157360405
mistral_qwen,"mistral_nemo,qwen_30b",30,oracle,0.939424703891709,0.016431465745479903,0.939424703891709,0.0,1.2923638714043994e-05,1.0
mistral_qwen,"mistral_nemo,qwen_30b",30,logistic_router,0.7796954314720812,0.02541919015511841,0.7796954314720812,0.15972927241962775,1.471395323181049e-05,0.6018612521150593
mistral_qwen,"mistral_nemo,qwen_30b",30,linear_svm_router,0.7671742808798646,0.027698583712639672,0.7671742808798646,0.17225042301184432,1.3989683181049069e-05,0.6062605752961083
mistral_qwen,"mistral_nemo,qwen_30b",30,knn_router,0.6866328257191202,0.02935558852189937,0.6866328257191202,0.25279187817258886,8.489507749576987e-06,0.7062605752961083
mistral_qwen,"mistral_nemo,qwen_30b",30,decision_tree_router,0.8021996615905245,0.029402465956441675,0.8021996615905245,0.13722504230118443,1.642158138747885e-05,0.5634517766497462
mistral_qwen,"mistral_nemo,qwen_30b",30,random_forest_router,0.7717428087986463,0.0231462919618923,0.7717428087986463,0.1676818950930626,1.3466231336717428e-05,0.6578680203045686
mistral_qwen,"mistral_nemo,qwen_30b",30,extra_trees_router,0.7834179357021996,0.02544481082334452,0.7834179357021996,0.15600676818950932,1.4670337055837563e-05,0.6172588832487309
mistral_qwen,"mistral_nemo,qwen_30b",30,mlp_router,0.73248730964467,0.02725937055141226,0.73248730964467,0.2069373942470389,1.1279898003384093e-05,0.6419627749576988
mistral_qwen,"mistral_nemo,qwen_30b",30,tfidf_logistic_router,0.7666666666666667,0.023030841991514634,0.7666666666666667,0.1727580372250423,1.344368453468697e-05,0.6265651438240271
