group,models,seed,policy,n_test,n_decidable,decidable_share,router_acc_full,router_acc_decidable,decidable_lift_pp,router_disagrees_with_best_fixed_share,router_correct_when_disagrees_share
gemini_flash_llama,"gemini_flash,llama_70b",237,linear_svm_router,197,24,0.1218274111675127,0.8984771573604061,0.5,0.0,0.17766497461928935,0.8285714285714286
gemini_flash_llama,"gemini_flash,llama_70b",237,knn_router,197,24,0.1218274111675127,0.8984771573604061,0.5,0.0,0.0,
gemini_flash_llama,"gemini_flash,llama_70b",237,decision_tree_router,197,24,0.1218274111675127,0.9289340101522843,0.75,25.0,0.14720812182741116,0.896551724137931
gemini_flash_llama,"gemini_flash,llama_70b",237,random_forest_router,197,24,0.1218274111675127,0.934010152284264,0.7916666666666666,29.166666666666664,0.1319796954314721,0.9615384615384616
gemini_flash_llama,"gemini_flash,llama_70b",237,extra_trees_router,197,24,0.1218274111675127,0.9238578680203046,0.7083333333333334,20.833333333333336,0.2131979695431472,0.9285714285714286
gemini_flash_llama,"gemini_flash,llama_70b",237,mlp_router,197,24,0.1218274111675127,0.9137055837563451,0.625,12.5,0.09137055837563451,0.8888888888888888
gemini_flash_llama,"gemini_flash,llama_70b",237,tfidf_logistic_router,197,24,0.1218274111675127,0.9086294416243654,0.5833333333333334,8.333333333333337,0.17766497461928935,0.8857142857142857
gemini_flash_llama,"gemini_flash,llama_70b",237,tfidf_linear_svm_router,197,24,0.1218274111675127,0.9035532994923858,0.5416666666666666,4.1666666666666625,0.03553299492385787,0.8571428571428571
gemini_flash_llama,"gemini_flash,llama_70b",237,tfidf_mlp_router,197,24,0.1218274111675127,0.8984771573604061,0.5,0.0,0.025380710659898477,0.6
gemini_flash_llama,"gemini_flash,llama_70b",238,always_llama_70b,197,24,0.1218274111675127,0.8984771573604061,0.625,0.0,0.0,
gemini_flash_llama,"gemini_flash,llama_70b",238,oracle,197,24,0.1218274111675127,0.9441624365482234,1.0,37.5,0.9238578680203046,
gemini_flash_llama,"gemini_flash,llama_70b",238,logistic_router,197,24,0.1218274111675127,0.9035532994923858,0.6666666666666666,4.1666666666666625,0.7868020304568528,0.8903225806451613
gemini_flash_llama,"gemini_flash,llama_70b",238,linear_svm_router,197,24,0.1218274111675127,0.883248730964467,0.5,-12.5,0.883248730964467,0.8735632183908046
gemini_flash_llama,"gemini_flash,llama_70b",238,knn_router,197,24,0.1218274111675127,0.868020304568528,0.375,-25.0,1.0,0.868020304568528
gemini_flash_llama,"gemini_flash,llama_70b",238,decision_tree_router,197,24,0.1218274111675127,0.9137055837563451,0.75,12.5,0.7360406091370558,0.9448275862068966
gemini_flash_llama,"gemini_flash,llama_70b",238,random_forest_router,197,24,0.1218274111675127,0.9086294416243654,0.7083333333333334,8.333333333333337,0.8426395939086294,0.9156626506024096
gemini_flash_llama,"gemini_flash,llama_70b",238,extra_trees_router,197,24,0.1218274111675127,0.9137055837563451,0.75,12.5,0.7715736040609137,0.9210526315789473
gemini_flash_llama,"gemini_flash,llama_70b",238,mlp_router,197,24,0.1218274111675127,0.8781725888324873,0.4583333333333333,-16.666666666666668,0.9390862944162437,0.8756756756756757
gemini_flash_llama,"gemini_flash,llama_70b",238,tfidf_logistic_router,197,24,0.1218274111675127,0.8934010152284264,0.5833333333333334,-4.1666666666666625,0.8629441624365483,0.888235294117647
gemini_flash_llama,"gemini_flash,llama_70b",238,tfidf_linear_svm_router,197,24,0.1218274111675127,0.8629441624365483,0.3333333333333333,-29.166666666666668,0.9796954314720813,0.8652849740932642
gemini_flash_llama,"gemini_flash,llama_70b",238,tfidf_mlp_router,197,24,0.1218274111675127,0.868020304568528,0.375,-25.0,0.9898477157360406,0.8666666666666667
gemini_flash_llama,"gemini_flash,llama_70b",239,always_llama_70b,197,20,0.10152284263959391,0.8934010152284264,0.55,0.0,0.0,
gemini_flash_llama,"gemini_flash,llama_70b",239,oracle,197,20,0.10152284263959391,0.9390862944162437,1.0,44.99999999999999,0.9441624365482234,
gemini_flash_llama,"gemini_flash,llama_70b",239,logistic_router,197,20,0.10152284263959391,0.9086294416243654,0.7,14.999999999999991,0.7715736040609137,0.9013157894736842
gemini_flash_llama,"gemini_flash,llama_70b",239,linear_svm_router,197,20,0.10152284263959391,0.8984771573604061,0.6,4.999999999999993,0.8121827411167513,0.8875
gemini_flash_llama,"gemini_flash,llama_70b",239,knn_router,197,20,0.10152284263959391,0.883248730964467,0.45,-10.000000000000004,1.0,0.883248730964467
gemini_flash_llama,"gemini_flash,llama_70b",239,decision_tree_router,197,20,0.10152284263959391,0.9086294416243654,0.7,14.999999999999991,0.6294416243654822,0.9112903225806451
gemini_flash_llama,"gemini_flash,llama_70b",239,random_forest_router,197,20,0.10152284263959391,0.9137055837563451,0.75,19.999999999999996,0.8730964467005076,0.9127906976744186
gemini_flash_llama,"gemini_flash,llama_70b",239,extra_trees_router,197,20,0.10152284263959391,0.9137055837563451,0.75,19.999999999999996,0.8020304568527918,0.9113924050632911
gemini_flash_llama,"gemini_flash,llama_70b",239,mlp_router,197,20,0.10152284263959391,0.8984771573604061,0.6,4.999999999999993,0.9289340101522843,0.8907103825136612
gemini_flash_llama,"gemini_flash,llama_70b",239,tfidf_logistic_router,197,20,0.10152284263959391,0.9035532994923858,0.65,9.999999999999998,0.8578680203045685,0.9053254437869822
gemini_flash_llama,"gemini_flash,llama_70b",239,tfidf_linear_svm_router,197,20,0.10152284263959391,0.8883248730964467,0.5,-5.000000000000004,0.949238578680203,0.893048128342246
