policy,accuracy,avg_cost,utility,regret,route_acc,group,models,seed
correctness_logistic,0.8984771573604061,6.360661421319798e-05,0.8984771573604061,0.04568527918781726,0.4517766497461929,llama_deepseek,"llama_70b,deepseek_v3",206
correctness_random_forest,0.8984771573604061,6.450681218274111e-05,0.8984771573604061,0.04568527918781726,0.48223350253807107,llama_deepseek,"llama_70b,deepseek_v3",206
correctness_extra_trees,0.9035532994923858,6.175814720812183e-05,0.9035532994923858,0.04060913705583756,0.5532994923857868,llama_deepseek,"llama_70b,deepseek_v3",206
correctness_tfidf_logistic,0.8934010152284264,6.331307106598985e-05,0.8934010152284264,0.050761421319796954,0.45685279187817257,llama_deepseek,"llama_70b,deepseek_v3",206
always_llama_70b,0.8730964467005076,5.597683248730965e-05,0.8730964467005076,0.07614213197969544,0.9238578680203046,llama_deepseek,"llama_70b,deepseek_v3",207
always_deepseek_v3,0.9187817258883249,7.22853197969543e-05,0.9187817258883249,0.030456852791878174,0.07614213197969544,llama_deepseek,"llama_70b,deepseek_v3",207
oracle,0.949238578680203,5.697259390862945e-05,0.949238578680203,0.0,1.0,llama_deepseek,"llama_70b,deepseek_v3",207
random,0.8883248730964467,6.545246700507614e-05,0.8883248730964467,0.06091370558375635,0.4619289340101523,llama_deepseek,"llama_70b,deepseek_v3",207
correctness_logistic,0.9035532994923858,6.53173147208122e-05,0.9035532994923858,0.04568527918781726,0.4873096446700508,llama_deepseek,"llama_70b,deepseek_v3",207
correctness_random_forest,0.8984771573604061,6.0288720812182745e-05,0.8984771573604061,0.050761421319796954,0.5279187817258884,llama_deepseek,"llama_70b,deepseek_v3",207
correctness_extra_trees,0.883248730964467,6.383769035532996e-05,0.883248730964467,0.06598984771573604,0.5279187817258884,llama_deepseek,"llama_70b,deepseek_v3",207
correctness_tfidf_logistic,0.8934010152284264,6.512647208121827e-05,0.8934010152284264,0.05583756345177665,0.4619289340101523,llama_deepseek,"llama_70b,deepseek_v3",207
always_llama_70b,0.883248730964467,5.221348730964466e-05,0.883248730964467,0.04060913705583756,0.9593908629441624,llama_deepseek,"llama_70b,deepseek_v3",208
always_deepseek_v3,0.8934010152284264,7.270623350253807e-05,0.8934010152284264,0.030456852791878174,0.04060913705583756,llama_deepseek,"llama_70b,deepseek_v3",208
oracle,0.9238578680203046,5.336691370558375e-05,0.9238578680203046,0.0,1.0,llama_deepseek,"llama_70b,deepseek_v3",208
random,0.8883248730964467,6.470202538071067e-05,0.8883248730964467,0.03553299492385787,0.4213197969543147,llama_deepseek,"llama_70b,deepseek_v3",208
correctness_logistic,0.9035532994923858,6.193988324873097e-05,0.9035532994923858,0.02030456852791878,0.5583756345177665,llama_deepseek,"llama_70b,deepseek_v3",208
correctness_random_forest,0.8934010152284264,6.299824365482233e-05,0.8934010152284264,0.030456852791878174,0.467005076142132,llama_deepseek,"llama_70b,deepseek_v3",208
correctness_extra_trees,0.8984771573604061,6.222554314720813e-05,0.8984771573604061,0.025380710659898477,0.5279187817258884,llama_deepseek,"llama_70b,deepseek_v3",208
correctness_tfidf_logistic,0.9035532994923858,6.207251776649747e-05,0.9035532994923858,0.02030456852791878,0.4873096446700508,llama_deepseek,"llama_70b,deepseek_v3",208
