policy,accuracy,avg_cost,utility,regret,cost_weight,route_acc
always_deepseek_v3,0.883248730964467,7.042395939086295e-05,0.7071888324873096,0.2501167131979695,2500.0,0.015228426395939087
always_ring_1t,0.41116751269035534,9.881421319796955e-05,0.1641319796954315,0.7931735659898478,2500.0,0.005076142131979695
always_minimax_m3,0.5736040609137056,0.00021227939086294415,0.042905583756345185,0.914399961928934,2500.0,0.0
always_granite_8b,0.8375634517766497,1.603908629441624e-05,0.7974657360406091,0.15983980964467007,2500.0,0.2182741116751269
always_step_flash,0.07614213197969544,0.00020856751269035534,-0.44527664974619297,1.4025821954314721,2500.0,0.0
random,0.6954314720812182,0.000109330261928934,0.4221058172588833,0.5351997284263961,2500.0,0.06598984771573604
oracle,0.9898477157360406,1.3016868020304565e-05,0.9573055456852793,0.0,2500.0,1.0
logistic_router,0.817258883248731,2.5918361421319794e-05,0.7524629796954315,0.2048425659898477,2500.0,0.34517766497461927
linear_svm_router,0.7563451776649747,1.7386860913705582e-05,0.7128780253807107,0.24442752030456855,2500.0,0.4467005076142132
knn_router,0.6700507614213198,8.141368527918782e-06,0.6496973401015228,0.30760820558375634,2500.0,0.5685279187817259
decision_tree_router,0.7715736040609137,2.384614720812183e-05,0.711958236040609,0.24534730964467008,2500.0,0.41116751269035534
random_forest_router,0.766497461928934,1.3781431472081217e-05,0.732043883248731,0.22526166243654822,2500.0,0.4619289340101523
extra_trees_router,0.7715736040609137,2.120551878172589e-05,0.718559807106599,0.2387457385786802,2500.0,0.3248730964467005
tfidf_logistic_router,0.7868020304568528,1.6009780710659896e-05,0.746777578680203,0.21052796700507612,2500.0,0.41116751269035534
tfidf_linear_svm_router,0.7309644670050761,1.0791880203045682e-05,0.703984766497462,0.25332077918781726,2500.0,0.467005076142132
always_gemini_flash_lite,0.9137055837563451,0.00012077157360406092,0.30984771573604064,0.6149156598984772,5000.0,0.01015228426395939
always_gemini_flash,0.8781725888324873,0.00018899238578680202,-0.06678934010152285,0.9915527157360408,5000.0,0.0
always_mistral_nemo,0.6598984771573604,7.035177664974619e-06,0.6247225888324872,0.30004078680203045,5000.0,0.5939086294416244
always_qwen_30b,0.868020304568528,2.3474460913705585e-05,0.750648,0.17411537563451776,5000.0,0.14720812182741116
always_llama_70b,0.8934010152284264,5.343402538071066e-05,0.6262308883248731,0.2985324873096446,5000.0,0.01015228426395939
always_deepseek_v3,0.883248730964467,7.042395939086295e-05,0.5311289340101523,0.3936344416243655,5000.0,0.015228426395939087
always_ring_1t,0.41116751269035534,9.881421319796955e-05,-0.0829035532994924,1.00766692893401,5000.0,0.005076142131979695
always_minimax_m3,0.5736040609137056,0.00021227939086294415,-0.4877928934010153,1.412556269035533,5000.0,0.0
always_granite_8b,0.8375634517766497,1.603908629441624e-05,0.7573680203045684,0.16739535532994923,5000.0,0.2182741116751269
always_step_flash,0.07614213197969544,0.00020856751269035534,-0.9666954314720814,1.8914588071065987,5000.0,0.0
random,0.6954314720812182,0.000109330261928934,0.1487801624365482,0.7759832131979697,5000.0,0.06598984771573604
oracle,0.9898477157360406,1.3016868020304565e-05,0.9247633756345177,0.0,5000.0,1.0
logistic_router,0.8223350253807107,2.6069675126903554e-05,0.691986649746193,0.23277672588832485,5000.0,0.3350253807106599
linear_svm_router,0.7563451776649747,1.615224162436548e-05,0.6755839695431471,0.24917940609137057,5000.0,0.45685279187817257
knn_router,0.6700507614213198,8.141368527918782e-06,0.6293439187817259,0.29541945685279186,5000.0,0.5685279187817259
decision_tree_router,0.7766497461928934,2.0892557360406088e-05,0.672186959390863,0.25257641624365484,5000.0,0.43147208121827413
random_forest_router,0.766497461928934,1.4257993908629441e-05,0.6952074923857867,0.22955588324873097,5000.0,0.43147208121827413
extra_trees_router,0.7715736040609137,2.1995646700507614e-05,0.6615953705583757,0.2631680050761421,5000.0,0.3350253807106599
tfidf_logistic_router,0.7868020304568528,1.5945928934010152e-05,0.7070723857868019,0.21769098984771576,5000.0,0.41624365482233505
tfidf_linear_svm_router,0.7309644670050761,1.086330152284264e-05,0.6766479593908629,0.24811541624365482,5000.0,0.4619289340101523
always_gemini_flash_lite,0.9137055837563451,0.00012077157360406092,-0.2940101522842639,1.1573587309644668,10000.0,0.0
always_gemini_flash,0.8781725888324873,0.00018899238578680202,-1.011751269035533,1.8750998477157361,10000.0,0.0
always_mistral_nemo,0.6598984771573604,7.035177664974619e-06,0.5895467005076143,0.27380187817258883,10000.0,0.6040609137055838
always_qwen_30b,0.868020304568528,2.3474460913705585e-05,0.633275695431472,0.23007288324873096,10000.0,0.14720812182741116
always_llama_70b,0.8934010152284264,5.343402538071066e-05,0.3590607614213198,0.5042878172588832,10000.0,0.01015228426395939
always_deepseek_v3,0.883248730964467,7.042395939086295e-05,0.17900913705583757,0.6843394416243656,10000.0,0.015228426395939087
always_ring_1t,0.41116751269035534,9.881421319796955e-05,-0.57697461928934,1.440323197969543,10000.0,0.005076142131979695
always_minimax_m3,0.5736040609137056,0.00021227939086294415,-1.5491898477157362,2.412538426395939,10000.0,0.0
always_granite_8b,0.8375634517766497,1.603908629441624e-05,0.6771725888324873,0.18617598984771574,10000.0,0.2182741116751269
always_step_flash,0.07614213197969544,0.00020856751269035534,-2.009532994923858,2.8728815736040603,10000.0,0.0
random,0.6954314720812182,0.000109330261928934,-0.3978711472081218,1.2612197258883249,10000.0,0.06598984771573604
oracle,0.9796954314720813,1.1634685279187815e-05,0.8633485786802032,0.0,10000.0,1.0
logistic_router,0.7918781725888325,2.2007145177664972e-05,0.5718067208121828,0.2915418578680203,10000.0,0.350253807106599
linear_svm_router,0.7411167512690355,1.5077419289340103e-05,0.5903425583756345,0.27300602030456855,10000.0,0.45685279187817257
knn_router,0.6700507614213198,8.095683248730964e-06,0.5890939289340102,0.2742546497461929,10000.0,0.5786802030456852
decision_tree_router,0.766497461928934,1.949958680203046e-05,0.5715015939086294,0.2918469847715736,10000.0,0.4213197969543147
random_forest_router,0.7563451776649747,1.4180731979695432e-05,0.6145378578680204,0.2488107208121827,10000.0,0.4517766497461929
extra_trees_router,0.7715736040609137,2.1362136040609136e-05,0.5579522436548224,0.3053963350253807,10000.0,0.3248730964467005
tfidf_logistic_router,0.7817258883248731,1.5092877157360405e-05,0.630797116751269,0.23255146192893397,10000.0,0.43147208121827413
